,Accession number,UniProt Annotation Status,Description,Cluster numbers
3536,J7RXV7,TrEMBL,Uncharacterized protein ,16
3537,A0A100I4X2,TrEMBL,Nucleolar GTP-binding protein ,16
3538,A0A1V6TVM5,TrEMBL,Uncharacterized protein ,16
3539,A0A1V8U8L5,TrEMBL,Uncharacterized protein ,16
3540,A0A022XVV7,TrEMBL,Uncharacterized protein ,16
3541,A0A099P4K4,TrEMBL,Uncharacterized protein ,16
3542,A0A178B0E5,TrEMBL,Acyl-CoA N-acyltransferase ,16
3543,A0A178C2A2,TrEMBL,Uncharacterized protein ,16
3544,H0EVT6,TrEMBL,Putative Nucleolar GTP-binding protein 1 ,16
3545,A0A101M9G6,TrEMBL,Uncharacterized protein ,16
3546,A0A1Y2DV24,TrEMBL,Uncharacterized protein ,16
3547,A0A1Z5SY87,TrEMBL,Uncharacterized protein ,16
3548,A0A139HFP0,TrEMBL,Uncharacterized protein ,16
3549,A0A139ICL5,TrEMBL,Uncharacterized protein ,16
3550,A0A0B4F9V7,TrEMBL,Acetyltransferase ,16
3551,V5G4Y5,TrEMBL,Acetyltransferase,16
3552,I6NE04,TrEMBL,Uncharacterized protein ,16
3553,A0A1Y2LUE8,TrEMBL,Uncharacterized protein ,16
3554,V5FQC6,TrEMBL,Hexokinase family protein ,16
3555,A1C6J3,TrEMBL,GNAT family acetyltransferase,16
3556,G2R5C2,TrEMBL,Uncharacterized protein ,16
3557,A0A0B2WVR7,TrEMBL,Polyamine acetyltransferase ,16
3558,G2XG16,TrEMBL,Polyamine acetyltransferase ,16
3559,A0A165ITN1,TrEMBL,Acyl-CoA N-acyltransferase ,16
3560,S3D0G8,TrEMBL,Acyl-CoA N-acyltransferases (Nat) ,16
3561,A0A139HEA2,TrEMBL,Uncharacterized protein ,16
3562,G3BE40,TrEMBL,Aries arylalkylamine N-acetyltransferase ,16
3563,U7Q3Y1,TrEMBL,Uncharacterized protein ,16
3564,A0A0S6XKE1,TrEMBL,Uncharacterized protein ,16
3565,A0A1Y1YJE6,TrEMBL,Acyl-CoA N-acyltransferase ,16
3566,A0A162PN36,TrEMBL,Polyamine acetyltransferase ,16
3567,R8BBG6,TrEMBL,Putative polyamine acetyltransferase protein ,16
3568,A0A162IB14,TrEMBL,Acetyltransferase ,16
3569,A0A0P7AII8,TrEMBL,Uncharacterized protein ,16
3570,G4MT57,TrEMBL,Polyamine acetyltransferase ,16
3571,S3BPZ9,TrEMBL,Gnat family ,16
3572,A0A063BQP7,TrEMBL,GNAT family protein ,16
3573,A0A232LVD8,TrEMBL,Uncharacterized protein ,16
3574,A0A150US64,TrEMBL,Uncharacterized protein ,16
3575,U1GXA0,TrEMBL,Uncharacterized protein ,16
3576,R7YWB9,TrEMBL,Uncharacterized protein ,16
3577,G0RAR1,TrEMBL,Predicted protein ,16
3578,A0A0N0NP91,TrEMBL,Polyamine N-acetyltransferase 1 ,16
3579,A0A074VQP6,TrEMBL,Polyamine acetyltransferase,16
3580,A0A177C1N1,TrEMBL,Acyl-CoA N-acyltransferase ,16
3581,A0A1W2TB23,TrEMBL,Putative polyamine acetyltransferase ,16
3582,G0S8E9,TrEMBL,Arylalkylamine N-acetyltransferase-like protein ,16
3583,A0A0L0NFV3,TrEMBL,Polyamine N-acetyltransferase 1 ,16
3584,A0A177AJU4,TrEMBL,Uncharacterized protein ,16
3585,A0A0L0NRU3,TrEMBL,Uncharacterized protein ,16
3586,G9MSX9,TrEMBL,Uncharacterized protein ,16
3587,A0A175W1M8,TrEMBL,Putative nucleolar GTP-binding protein 1 ,16
3588,A0A066XFI2,TrEMBL,Putative six-hairpin glycosidase ,16
3589,A6RBV5,TrEMBL,Uncharacterized protein ,16
3590,G0W3Y5,TrEMBL,Uncharacterized protein ,16
3591,W1QGK0,TrEMBL,Uncharacterized protein ,16
3592,A0A1W5CST9,TrEMBL,GNAT domain ,16
3593,I8A093,TrEMBL,Arylalkylamine N-acetyltransferase ,16
3594,A5E231,TrEMBL,Uncharacterized protein ,16
3595,W0T8R7,TrEMBL,Polyamine N-acetyltransferase 1 ,16
3596,A0A135SYS5,TrEMBL,Acetyltransferase ,16
3597,A0A1Y2WJK0,TrEMBL,Uncharacterized protein ,16
3598,J3NNN8,TrEMBL,Polyamine acetyltransferase ,16
3599,A0A135UMZ0,TrEMBL,Acetyltransferase ,16
3600,A0A136INB4,TrEMBL,Uncharacterized protein ,16
3601,G1X8U0,TrEMBL,Uncharacterized protein ,16
3602,A0A167MW08,TrEMBL,Gcn5-related n-acetyltransferase ,16
3603,G8ZPK5,TrEMBL,Uncharacterized protein ,16
3604,A0A167DSL3,TrEMBL,Paa1p ,16
3605,G2Q571,TrEMBL,Uncharacterized protein ,16
3606,A0A1Y2TIR0,TrEMBL,Acyl-CoA N-acyltransferase ,16
3607,A0A166ND28,TrEMBL,Acyl-CoA N-acyltransferase ,16
3608,A0A135SPE9,TrEMBL,Acetyltransferase ,16
3609,A0A072PFC6,TrEMBL,Uncharacterized protein ,16
3610,A0A0B0E2X3,TrEMBL,Acyl-CoA N-acyltransferase ,16
3611,C7Z755,TrEMBL,Uncharacterized protein ,16
3612,M3K5F2,TrEMBL,Uncharacterized protein ,16
3613,M7SZX6,TrEMBL,Putative polyamine acetyltransferase protein ,16
3614,W7I6V5,TrEMBL,Uncharacterized protein ,16
3615,B2WMP2,TrEMBL,Acetyltransferase ,16
3617,A0A1B7YC15,TrEMBL,Six-hairpin glycosidase ,16
3618,A0A1L9RBB7,TrEMBL,Uncharacterized protein ,16
3619,A0A1L9R8V5,TrEMBL,Uncharacterized protein ,16
3620,A0A1E3Q251,TrEMBL,Uncharacterized protein ,16
3621,A0A060SZ26,TrEMBL,ARAD1C05280p ,16
3622,L2FQ50,TrEMBL,GNAT family ,16
3623,B2AZ66,TrEMBL,Podospora anserina S mat+ genomic DNA chromosome 3,16
3624,A0A1E3PH22,TrEMBL,Acyl-CoA N-acyltransferase ,16
3625,E4ZIB5,TrEMBL,Uncharacterized protein ,16
3626,N1J8Y3,TrEMBL,Acetyltransferase,16
3627,F0U6R4,TrEMBL,Acetyltransferase ,16
3628,A0A1B2J834,TrEMBL,BA75_01595T0 ,16
3629,A0A084G165,TrEMBL,Uncharacterized protein ,16
3630,A0A194UPZ9,TrEMBL,Polyamine N-acetyltransferase 1 ,16
3631,A0A1B7TIK5,TrEMBL,Acyl-CoA N-acyltransferase ,16
3632,Q0U3Y7,TrEMBL,Uncharacterized protein ,16
3633,A0A1E4T886,TrEMBL,Uncharacterized protein ,16
3634,A0A0G2GKU4,TrEMBL,Putative gnat family ,16
3635,A0A1G4BJQ8,TrEMBL,Acetyltransferase ,16
3636,A0A1G4K7C5,TrEMBL,LANO_0F03752g1_1 ,16
3637,Q12447,SwissProt,Polyamine N-acetyltransferase 1,16
3638,A0A0D1YZA1,TrEMBL,Uncharacterized protein ,16
3639,Q6BK35,TrEMBL,DEHA2F25212p ,16
3640,A0A0F0IFL8,TrEMBL,Acetyltransferase GNAT family protein ,16
3641,A0A1L9SI14,TrEMBL,Uncharacterized protein ,16
3642,A0A0F4GX86,TrEMBL,Uncharacterized protein ,16
3643,F0X8W6,TrEMBL,Gcn5-related n-acetyltransferase ,16
3644,A0A1E3PE75,TrEMBL,Acyl-CoA N-acyltransferase ,16
3645,A0A1E5RVI9,TrEMBL,Polyamine N-acetyltransferase 1 ,16
3646,D5G786,TrEMBL,Uncharacterized protein ,16
3647,K1X3E4,TrEMBL,Polyamine acetyltransferase ,16
3648,A0A0F4Z5R1,TrEMBL,Nucleolar GTP-binding protein 1 ,16
3649,W9YMY7,TrEMBL,Uncharacterized protein ,16
3650,A0A1E4U129,TrEMBL,Uncharacterized protein ,16
3651,Q5ALW1,TrEMBL,Uncharacterized protein ,16
3652,A0A1B7NR82,TrEMBL,Uncharacterized protein ,16
3653,A0A1V1SU55,TrEMBL,Uncharacterized protein ,16
3654,A0A0D2AFS9,TrEMBL,Uncharacterized protein ,16
3656,C5FFG2,TrEMBL,Acetyltransferase ,16
3657,A0A061BEB1,TrEMBL,CYFA0S36e00584g1_1 ,16
3658,A0A1E3NUY3,TrEMBL,Uncharacterized protein ,16
3659,A0A084BA83,TrEMBL,Uncharacterized protein ,16
3660,A0A1D8PFY0,TrEMBL,Polyamine acetyltransferase ,16
3661,A0A0J9XFK3,TrEMBL,Similar to Saccharomyces cerevisiae YDR071C PAA1 Polyamine acetyltransferase ,16
3662,A0A1Q8S2H2,TrEMBL,Polyamine N-acetyltransferase 1 ,16
3663,C4JG47,TrEMBL,Uncharacterized protein ,16
3664,A0A1T3CBE4,TrEMBL,GCN5-N-acetyltransferase ,16
3665,N1PK22,TrEMBL,Uncharacterized protein ,16
3666,A0A1D2JI78,TrEMBL,Uncharacterized protein ,16
3667,A0A1E3B858,TrEMBL,Uncharacterized protein ,16
3668,A0A0B7KKA4,TrEMBL,Uncharacterized protein ,16
3669,A0A1E3BD09,TrEMBL,Uncharacterized protein ,16
3670,N4VUK4,TrEMBL,GNAT family protein ,16
3671,N4U5L0,TrEMBL,Polyamine N-acetyltransferase 1 ,16
3672,M3CIH2,TrEMBL,Acyl-CoA N-acyltransferase ,16
3673,A0A1D9PU08,TrEMBL,Uncharacterized protein ,16
3674,A0A0D2GVB7,TrEMBL,Rhinocladiella mackenziei CBS 650.93 unplaced genomic scaffold supercont1.6,16
3675,L2FET6,TrEMBL,Polyamine acetyltransferase ,16
3676,A0A093VKF5,TrEMBL,Nucleolar GTP-binding protein 1 ,16
3677,A0A1J7JVJ1,TrEMBL,Acyl-CoA N-acyltransferase ,16
3678,A0A1L7XBV7,TrEMBL,Probable polyamine acetyltransferase ,16
3679,A0A0C3HJH7,TrEMBL,Uncharacterized protein ,16
3680,A0A1E3NSB0,TrEMBL,Uncharacterized protein ,16
3681,W6MRM5,TrEMBL,Uncharacterized protein ,16
3682,N1PQS7,TrEMBL,Uncharacterized protein ,16
3683,C4YBV3,TrEMBL,Uncharacterized protein ,16
3684,A0A1S8BJ01,TrEMBL,Polyamine N-acetyltransferase 1 ,16
3685,A0A1D8N7R8,TrEMBL,Uncharacterized protein ,16
3686,A0A1L9P4C2,TrEMBL,Uncharacterized protein ,16
3687,A0A179FCL1,TrEMBL,GCN5-related N-acetyltransferase (GNAT) domain-containing protein ,16
3688,A0A0F4YFG2,TrEMBL,GNAT family acetyltransferase ,17
3689,A0A167P7J4,TrEMBL,Acyl-CoA N-acyltransferase ,17
3690,S3CKQ8,TrEMBL,Acyl-CoA N-acyltransferases (Nat) ,17
3691,A0A0S6X6X7,TrEMBL,Uncharacterized protein ,17
3692,A0A0S6XDX8,TrEMBL,Uncharacterized protein ,17
3693,T5AJM9,TrEMBL,Acyl-CoA N-acyltransferase ,17
3694,A0A167M845,TrEMBL,Acyl-CoA N-acyltransferase ,17
3695,A0A0S6XDS5,TrEMBL,Uncharacterized protein ,17
3696,A0A166ZKQ8,TrEMBL,Gnat family ,17
3697,A0A0S6XCR6,TrEMBL,Uncharacterized protein ,17
3698,A0A1S8AB51,TrEMBL,Putative gnat family ,17
3699,A0A166TL12,TrEMBL,Acyl-CoA N-acyltransferase ,17
3700,A0A0M8P2M4,TrEMBL,Uncharacterized protein ,17
3701,A0A0S6XB47,TrEMBL,Uncharacterized protein ,17
3702,A0A0M9EQF4,TrEMBL,Riboflavin transporter mch5 ,17
3703,A0A0S6XDV6,TrEMBL,Uncharacterized protein ,17
3704,A0A0S6XCW5,TrEMBL,Uncharacterized protein ,17
3705,A0A0S6X7D9,TrEMBL,Uncharacterized protein ,17
3706,R1G9B8,TrEMBL,Putative gnat family protein ,17
3707,A0A0F7VIL3,TrEMBL,Uncharacterized protein ,17
3708,A0A0S6XCX8,TrEMBL,Uncharacterized protein ,17
3709,A0A0S6X781,TrEMBL,Uncharacterized protein ,17
3710,A0A0S6XDD3,TrEMBL,Uncharacterized protein ,17
3711,A0A0S6XDD6,TrEMBL,Uncharacterized protein ,17
3712,A0A166TKB9,TrEMBL,Putative GNAT family acetyltransferase ,17
3713,A0A166ZJL9,TrEMBL,Gnat family protein ,17
3714,A0A179FMK2,TrEMBL,GNAT family acetyltransferase ,17
3715,L7J9C2,TrEMBL,Uncharacterized protein ,17
3716,A0A1Q5Q894,TrEMBL,Uncharacterized protein ,17
3717,N1QAG1,TrEMBL,Uncharacterized protein ,17
3718,A0A1Q5UMT8,TrEMBL,Uncharacterized protein ,17
3719,A0A162LSN9,TrEMBL,Acyl-CoA N-acyltransferase ,17
3720,A0A093ZK38,TrEMBL,Uncharacterized protein ,17
3721,I1S6U7,TrEMBL,Uncharacterized protein ,17
3722,A0A162MRF7,TrEMBL,Acyl-CoA N-acyltransferase ,17
3723,A0A0A1TR58,TrEMBL,Uncharacterized protein ,17
3724,R8B987,TrEMBL,Putative gnat family protein ,17
3725,A0A1E1KV36,TrEMBL,Uncharacterized protein ,17
3726,A0A0A1TNY8,TrEMBL,Uncharacterized protein ,17
3727,A0A1Y1UQD9,TrEMBL,Acyl-CoA N-acyltransferase ,17
3728,A0A0D6ELS1,TrEMBL,SPOSA6832_02636-mRNA-1:cds ,17
3729,G3JP13,TrEMBL,Acyl-CoA N-acyltransferase ,17
3730,A0A0D2YDV6,TrEMBL,Uncharacterized protein ,17
3731,A0A0A1TIX9,TrEMBL,Uncharacterized protein ,17
3732,A0A0A1TIN0,TrEMBL,Uncharacterized protein ,17
3733,R8BEK4,TrEMBL,Putative gnat family protein ,17
3734,R8BNY5,TrEMBL,Putative gnat family protein ,17
3735,A0A1Y1ZV01,TrEMBL,Acyl-CoA N-acyltransferase ,17
3736,R8BTD3,TrEMBL,Putative gnat family protein ,17
3737,C7YVL2,TrEMBL,Uncharacterized protein ,17
3738,A0A150UUS2,TrEMBL,Uncharacterized protein ,17
3739,A0A150UWP2,TrEMBL,Uncharacterized protein ,17
3740,A0A1Y2EAJ2,TrEMBL,Acyl-CoA N-acyltransferase ,17
3741,G4UH20,TrEMBL,Acyl-CoA N-acyltransferase ,17
3742,A0A150VDP6,TrEMBL,Uncharacterized protein ,17
3743,A1CGK1,TrEMBL,GNAT family acetyltransferase,17
3744,A0A151GJI5,TrEMBL,Uncharacterized protein ,17
3745,Q0UR84,TrEMBL,Uncharacterized protein ,17
3746,A0A151GQ47,TrEMBL,Acyl-CoA N-acyltransferase ,17
3747,A0A0B2X0R9,TrEMBL,Acyl-CoA N-acyltransferase ,17
3748,A0A1Y2CJM9,TrEMBL,Acyl-CoA N-acyltransferase ,17
3749,M7TTR6,TrEMBL,Putative gnat family protein ,17
3750,A0A0A1TGV4,TrEMBL,Uncharacterized protein ,17
3751,A0A0P9ETP5,TrEMBL,Uncharacterized protein ,17
3752,A0A0P7BPA5,TrEMBL,Uncharacterized protein ,17
3753,A0A0P7BGV2,TrEMBL,Uncharacterized protein ,17
3754,A0A074WFD0,TrEMBL,Acyl-CoA N-acyltransferase ,17
3755,M7SB26,TrEMBL,Putative gnat family protein ,17
3756,A0A1X7RSS9,TrEMBL,Uncharacterized protein ,17
3757,C7ZFK1,TrEMBL,Uncharacterized protein ,17
3758,A0A136IJJ5,TrEMBL,Acyl-CoA N-acyltransferase ,17
3759,A0A177E2I5,TrEMBL,Acyl-CoA N-acyltransferase ,17
3760,A0A132B6K4,TrEMBL,Acyl-CoA N-acyltransferase ,17
3761,A0A135LHH1,TrEMBL,Acyl-CoA N-acyltransferase ,17
3762,A0A1Z5TJF8,TrEMBL,Uncharacterized protein ,17
3763,M2NHT6,TrEMBL,Uncharacterized protein ,17
3765,W3X7H0,TrEMBL,Uncharacterized protein ,17
3766,A0A1Y2WNF2,TrEMBL,Uncharacterized protein ,17
3767,B2AV48,TrEMBL,Podospora anserina S mat+ genomic DNA chromosome 7,17
3768,A0A135TG19,TrEMBL,Uncharacterized protein ,17
3769,A0A179HC14,TrEMBL,GCN5-related N-acetyltransferase (GNAT) domain-containingprotein ,17
3770,W6ZKB0,TrEMBL,Uncharacterized protein ,17
3771,A0A1V6PZ95,TrEMBL,Uncharacterized protein ,17
3772,A0A177CXQ9,TrEMBL,Acyl-CoA N-acyltransferase ,17
3773,W3WSV5,TrEMBL,Uncharacterized protein ,17
3774,A0A179IL31,TrEMBL,Uncharacterized protein ,17
3775,A0A1L9WEY7,TrEMBL,Uncharacterized protein ,17
3776,A0A0C4DY42,TrEMBL,Uncharacterized protein ,17
3777,A0A1Y2VX11,TrEMBL,Uncharacterized protein ,17
3778,A0A136IU17,TrEMBL,Acyl-CoA N-acyltransferase ,17
3779,A0A1V1T5U8,TrEMBL,Uncharacterized protein ,17
3780,A0A0L0NFY1,TrEMBL,SPBc2 prophage-derived uncharacterized N-acetyltransferase YokL ,17
3781,A0A1V1SXL6,TrEMBL,Uncharacterized protein ,17
3782,A0A179H4V1,TrEMBL,GCN5-related N-acetyltransferase (GNAT) domain-containingprotein ,17
3783,A0A1V6R2F7,TrEMBL,Uncharacterized protein ,17
3784,A0A1Z5THS3,TrEMBL,Uncharacterized protein ,17
3785,W6QXY0,TrEMBL,Acyl-CoA N-acyltransferase ,17
3786,A0A120E630,TrEMBL,Putative GNAT family acetyltransferase ,17
3787,A0A101MN73,TrEMBL,Uncharacterized protein ,17
3788,A0A1V8SA00,TrEMBL,Uncharacterized protein ,17
3789,A0A120E633,TrEMBL,Putative GNAT family acetyltransferase ,17
3790,A0A1V8SP04,TrEMBL,Uncharacterized protein ,17
3791,A0A178DP36,TrEMBL,Acyl-CoA N-acyltransferase ,17
3792,A0A120E634,TrEMBL,Putative GNAT family acetyltransferase ,17
3793,A0A1J7IMR8,TrEMBL,Acyl-CoA N-acyltransferase ,17
3794,A0A1V8TGW8,TrEMBL,Uncharacterized protein ,17
3795,A0A1L7XUK1,TrEMBL,Uncharacterized protein ,17
3796,A0A1V8TXT4,TrEMBL,Uncharacterized protein ,17
3797,A0A1V1SSG1,TrEMBL,Uncharacterized protein ,17
3798,A0A179FFY2,TrEMBL,Acetyltransferase (GNAT) domain-containing protein ,17
3799,A0A179FVA0,TrEMBL,Acetyltransferase (GNAT) domain-containing protein ,17
3800,A0A1V8URI7,TrEMBL,Uncharacterized protein ,17
3801,A0A179FWH6,TrEMBL,GCN5-related N-acetyltransferase (GNAT) domain-containingprotein ,17
3802,H0EF72,TrEMBL,Putative Uncharacterized N-acetyltransferase YoaA ,17
3803,A0A179GQE1,TrEMBL,GCN5-related N-acetyltransferase (GNAT) domain-containingprotein ,17
3804,G9N598,TrEMBL,Uncharacterized protein ,17
3805,A0A178B025,TrEMBL,Acyl-CoA N-acyltransferase ,17
3806,A0A063BZN6,TrEMBL,Putative GNAT family acetyltransferase ,17
3807,A0A178AFE8,TrEMBL,Acyl-CoA N-acyltransferase ,17
3808,M1W320,TrEMBL,Uncharacterized protein ,17
3809,A0A0C3H065,TrEMBL,Uncharacterized protein ,17
3810,G9N5F4,TrEMBL,Uncharacterized protein ,17
3811,A0A0C4EBT9,TrEMBL,Uncharacterized protein ,17
3812,A0A0D2YHA1,TrEMBL,Uncharacterized protein ,17
3813,A0A0G2GE92,TrEMBL,Putative gnat family ,17
3814,A0A0F8W3V9,TrEMBL,Uncharacterized protein ,17
3815,K2SJL0,TrEMBL,Uncharacterized protein ,17
3816,A0A194UVE3,TrEMBL,Spermidine N(1)-acetyltransferase ,17
3817,A0A0A1SVT4,TrEMBL,Uncharacterized protein ,17
3818,A0A168BWW6,TrEMBL,Acyl-CoA N-acyltransferase ,17
3819,A0A168E4A7,TrEMBL,Acyl-CoA N-acyltransferase ,17
3820,A0A1L9SF43,TrEMBL,Uncharacterized protein ,17
3821,A0A0G2HWX9,TrEMBL,Putative gnat family ,17
3822,A0A0G2HK28,TrEMBL,Putative gnat family ,17
3823,A0A074VTN0,TrEMBL,Acyl-CoA N-acyltransferase ,17
3824,A0A0U5FV85,TrEMBL,Uncharacterized protein ,17
3825,A0A139IQZ1,TrEMBL,Uncharacterized protein ,17
3826,A0A136JBA8,TrEMBL,GNAT family acetyltransferase ,17
3827,M2UEQ4,TrEMBL,Uncharacterized protein ,17
3828,A0A168FJE2,TrEMBL,Acyl-CoA N-acyltransferase ,17
3829,A0A1Y2M7V0,TrEMBL,Uncharacterized protein ,17
3830,A0A194VG03,TrEMBL,Spermidine N(1)-acetyltransferase ,17
3831,A0A168KV95,TrEMBL,Acyl-CoA N-acyltransferase ,17
3832,A0A194W146,TrEMBL,Putative N-acetyltransferase YoaA ,17
3833,A0A0S6XV82,TrEMBL,Uncharacterized protein ,17
3834,G0T1A3,TrEMBL,Putative GNAT family acetyltransferase ,17
3835,A0A1U8QPX7,TrEMBL,Uncharacterized protein ,17
3836,E3RIV0,TrEMBL,Uncharacterized protein ,17
3837,A0A146I9G4,TrEMBL,Cytoplasmic protein ,18
3838,A0A074RWB5,TrEMBL,GNAT family acetyltransferase ,18
3839,A0A1Y1W1H0,TrEMBL,Uncharacterized protein ,18
3840,M4A5P2,TrEMBL,Uncharacterized protein ,18
3841,A0A1Y2GNA2,TrEMBL,Uncharacterized protein ,18
3842,A0A147BLV1,TrEMBL,Putative n-acetyltransferase ,18
3843,T2M5W4,TrEMBL,Cysteine-rich protein 2-binding protein ,18
3844,A0A146XZ53,TrEMBL,Cysteine-rich protein 2-binding protein ,18
3846,A0A0C3DUU2,TrEMBL,Uncharacterized protein ,18
3847,C3YLR7,TrEMBL,Uncharacterized protein ,18
3848,A0A0D0AFV9,TrEMBL,Unplaced genomic scaffold CY34scaffold_3,18
3849,H2Z2D4,TrEMBL,Uncharacterized protein ,18
3850,A0A0C9ZCQ1,TrEMBL,Unplaced genomic scaffold scaffold_137,18
3851,A0A131YLX2,TrEMBL,Cysteine rich protein 2 binding protein ,18
3852,A0A0D2WTQ1,TrEMBL,CRP2 binding protein ,18
3853,A0A1Y1WVF9,TrEMBL,Uncharacterized protein ,18
3854,D8Q0S7,TrEMBL,Uncharacterized protein ,18
3855,A0A146N936,TrEMBL,Cysteine-rich protein 2-binding protein ,18
3856,S8FRT0,TrEMBL,Uncharacterized protein ,18
3857,A0A0D2L8W6,TrEMBL,Uncharacterized protein ,18
3859,A0A137P321,TrEMBL,Uncharacterized protein ,18
3860,A0A0A9Y1X1,TrEMBL,Cysteine-rich protein 2-binding protein ,18
3861,A0A087UTX1,TrEMBL,Cysteine-rich protein 2-binding protein ,18
3862,A0A1Y2BW85,TrEMBL,Uncharacterized protein ,18
3863,A0A0C9PR60,TrEMBL,CSRP2BP_0 protein ,18
3864,A0A137QKC3,TrEMBL,Cysteine-rich protein 2-binding protein ,18
3865,A0A0C2X9Y8,TrEMBL,Uncharacterized protein ,18
3866,A0A1I8NPC0,TrEMBL,Uncharacterized protein ,18
3867,A0A067NIN9,TrEMBL,Uncharacterized protein ,18
3868,A0A210QSN5,TrEMBL,Cysteine-rich protein 2-binding protein ,18
3869,L8GJM5,TrEMBL,Acetyltransferase,18
3870,M7B3Z6,TrEMBL,Cysteine-rich protein 2-binding protein ,18
3871,T1FY77,TrEMBL,Uncharacterized protein ,18
3872,A0A151K037,TrEMBL,Cysteine-rich protein 2-binding protein ,18
3873,A0A0C7B9Z6,TrEMBL,Uncharacterized protein ,18
3874,M2RL09,TrEMBL,Uncharacterized protein ,18
3875,A0A1I8NH10,TrEMBL,Uncharacterized protein ,18
3876,S9X2J8,TrEMBL,Uncharacterized protein ,18
3877,A0A139AYJ3,TrEMBL,Uncharacterized protein ,18
3878,A0A1Q3E7U1,TrEMBL,Smr domain-containing protein ,18
3879,S4RD22,TrEMBL,Lysine acetyltransferase 14 ,18
3880,A0A034VX69,TrEMBL,Cysteine-rich protein 2-binding protein ,18
3881,A0A139WF36,TrEMBL,Cysteine-rich protein 2-binding protein-like Protein ,18
3882,A0A0P6HVU8,TrEMBL,Cysteine-rich protein 2-binding protein ,18
3883,T1J5P7,TrEMBL,Uncharacterized protein ,18
3884,A0A212ELN7,TrEMBL,Cysteine-rich 2-binding protein ,18
3885,A0A1Y2BHB9,TrEMBL,Uncharacterized protein ,18
3886,A0A0C9VHU0,TrEMBL,Unplaced genomic scaffold scaffold_10,18
3887,E0VQJ5,TrEMBL,Uncharacterized protein ,18
3888,A0A067MT29,TrEMBL,Uncharacterized protein ,18
3889,D3BPY5,TrEMBL,Uncharacterized protein ,18
3890,T1I6U7,TrEMBL,Uncharacterized protein ,18
3891,A0A151Z5V2,TrEMBL,Delta(14)-sterol reductase ,18
3892,A0A1M2VUE1,TrEMBL,Cysteine-rich protein 2-binding protein ,18
3893,S2JPW0,TrEMBL,Uncharacterized protein ,18
3894,A0A0C2Y4K6,TrEMBL,Uncharacterized protein ,18
3895,A0A1R0H676,TrEMBL,Cysteine-rich protein 2-binding protein ,18
3896,A0A197JT95,TrEMBL,Uncharacterized protein ,18
3897,F6RU68,TrEMBL,Uncharacterized protein ,18
3898,A0A166HZU5,TrEMBL,Uncharacterized protein ,18
3899,A0A0L6WPF6,TrEMBL,Cysteine-rich protein 2-binding protein ,18
3900,J4G7R4,TrEMBL,Uncharacterized protein ,18
3901,I3MF49,TrEMBL,Uncharacterized protein ,18
3902,A0A166C1R0,TrEMBL,Uncharacterized protein ,18
3903,B4DMS0,TrEMBL,cDNA FLJ57852,18
3904,A0A058Z7J9,TrEMBL,Uncharacterized protein ,18
3905,A0A1W4WMH1,TrEMBL,cysteine-rich protein 2-binding protein ,18
3906,A0A0L0S578,TrEMBL,Uncharacterized protein ,18
3907,A0A068RPY5,TrEMBL,Cysteine-rich protein 2-binding protein ,18
3908,A0A1V1FTL1,TrEMBL,Putative cysteine-rich protein 7 isoform A ,18
3909,A0A1S3IIW7,TrEMBL,cysteine-rich protein 2-binding protein isoform X1 ,18
3910,A7SYB3,TrEMBL,Predicted protein ,18
3911,I1CTU3,TrEMBL,Uncharacterized protein ,18
3912,A0A1W2W1Z9,TrEMBL,cysteine-rich protein 2-binding protein isoform X1 ,18
3913,W8BUQ9,TrEMBL,Cysteine-rich protein 2-binding protein ,18
3914,A0A0B6ZEZ0,TrEMBL,Uncharacterized protein ,18
3915,A0A165RHM3,TrEMBL,Uncharacterized protein ,18
3916,A0A165PLF5,TrEMBL,Uncharacterized protein ,18
3917,K1RP96,TrEMBL,Histone-lysine N-methyltransferase,18
3918,A0A1C7MB72,TrEMBL,Uncharacterized protein ,18
3919,A0A1C7N8E5,TrEMBL,Cysteine-rich protein 2-binding protein ,18
3920,A0A194Q4Q8,TrEMBL,Cysteine-rich protein 2-binding protein ,18
3921,A0A0E9NPT8,TrEMBL,Uncharacterized protein ,18
3922,A0A0L7L6Q5,TrEMBL,Putative cysteine and glycine-rich protein 2 binding protein ,18
3923,A0A0N1IGR6,TrEMBL,Cysteine-rich protein 2-binding protein ,18
3924,F4PLF5,TrEMBL,Uncharacterized protein ,18
3925,A0A0F8AP95,TrEMBL,Cysteine-rich protein 2-binding protein ,18
3926,A0A075B6H4,TrEMBL,Cysteine-rich protein 2-binding protein ,18
3927,A0A1X2GB54,TrEMBL,Uncharacterized protein ,18
3928,A0A067SLG7,TrEMBL,Uncharacterized protein ,18
3929,F4P5X8,TrEMBL,Uncharacterized protein ,18
3930,A0A167S5M1,TrEMBL,Uncharacterized protein ,18
3931,B4N0X7,TrEMBL,Uncharacterized protein ,18
3932,A0A1X2H6C7,TrEMBL,Uncharacterized protein ,18
3933,A0A167MAE9,TrEMBL,Uncharacterized protein ,18
3934,Q29MN9,TrEMBL,Uncharacterized protein ,18
3935,A8NA46,TrEMBL,Uncharacterized protein ,18
3936,A0A1S8W268,TrEMBL,Uncharacterized protein ,18
3937,A0A1B0BZB7,TrEMBL,Uncharacterized protein ,18
3938,A0A1B0CCW6,TrEMBL,Uncharacterized protein ,18
3939,A0A1X2IXA3,TrEMBL,Uncharacterized protein ,18
